Åarjelsaemien gïele	Nöörjen gïele	Sveerjen gïele	Synonyjme	Baakoen definssjovne saemien gïelesne/Åarjelsaemien jiehtegh	Baakoen definisjovne daaroen gïelesne/Daaroen jiehtegh	Baakoe-tjïerte	Baakoen syjjehtimmie	Baakoen gaaltije	Statuse	Midgard	Siebr.	Kapittel	Side	
agora	agora	agora		Dennie stoerre tåarjesne, agora, meehtin gaajhke-såarhts vaarah åestedh.	På det store torget, agora, kunne man få kjøpt alle slags varer.	substantiv	agora, agorese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
parfyjme	parfyme	parfym		Daesnie lij parfyjme jïh vaash.	Her var det parfyme og vaser.	substantiv	parfyjme, parfyjmese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
vaase	vase	vas		Daesnie lij parfyjme jïh vaash.	Her var det parfyme og vaser.	substantiv	vaase, vaasese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
maehtedh åestedh	kunne få kjøpt, kunne kjøpe	kunde man få köpa, få tillgång att köpa		Dennie stoerre tåarjesne, agora, meehtin gaajhke-såarths vaarah åestedh.	På det store torget, agora, kunne man få kjøpt alle slags varer.		uttrykk	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
nåhkehtidh	tillbringe	tillbringa		Daesnie maehtiejin abpe biejjiem nåhkehtidh. 	Her kunne de tilbringe hele dagen.	verb	årrodh, orre, årroeji, orreme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
årrodh	holde seg	hålla sig		Nysenæjjah tjïehtiejin / tjoerin gåetesne årrodh.	Kvinnene måtte holde seg hjemme.	verb	årrodh, orre,  årroeji, orreme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 46	
diskose-hajkedimmie	diskoskast	diskuskast		Vïjhte-gæmhposne lij saejhtie-hajkedimmie, guhkies-njulhtjeme, hajkeme, diskose-hajkedimmie jïh gylpestalleme.	Femkamp besto av spydkast, lengdehopp, løp, diskoskast og bryting.	sammensatt substantiv av diskose + hajkedimmie	diskose-hajkedimmie, diskose-hajkedæmman	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
tjarmedimmie	boksing	boxning		Jeatjah suerkie lij tjarmedimmie.	En annen øvelse var boksing.	substantiv av tjarmedh	tjarmedimmie, tjarmedæmman	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
gladiatovre	gladiator	gladiator				substantiv	gladiatovre, gladiatovrese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
atleete	atlet, idrettsmann	atlet, idrottsman		Fïerhten njealjeden jaepien atleeth abpe Hellasistie gaavnedin. 	Hvert fjerde år møttes atleter fra hele Hellas.	substantiv	atlete, atletese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
Olympijen spïelh; 	Olympiske leker; Olympiade	Olympiska spel, Olympiad	Olympijaade	Dïhte bööremes gaarsjelimmie-gaahtjeme lij Olympijen spïelh.	Den gjeveste av alle idrettskonkurranser var de olympiske lekene.	substantiv	Olympijen spïelh, Olympijen spïelide	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
guhkies-njulhtjeme	lengdehopp	längdhopp		Vïjhtegæmhposne lij saejhtie-hajkedimmie, guhkies-njulhtjeme, hajkeme, diskose-hajkedimmie jïh gylpestalleme.	Femkamp besto av spydkast, lengdehopp, løp, diskoskast og bryting.	sammensatt substantiv	guhkies-njulhtjeme, guhkies-njulhtjemasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 48	
oliven-gievlie	olivenkrans	olivkrans	 gievlie olijven-moeren lastijste	Voestes sjïele lij gïevlie olijven-moeren lastijste.	Førstepremien var en krans av blader fra oliventreet.	sammensatt substantiv av olijven + gïevlie	olijven-gïevlie, olijven-geavlan; gievlie olijven-moeren lastijste	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 49	
olijven-moere	oliventre	olivträd		Voestes sjïele  lij gïevlie olijven-moeren lastijste.	Førstepremien var en krans av blader fra oliventreet.	sammensatt substantiv av olijven + moere	olijven-moere, olijven-moerese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 49	
stadijovne	stadion	stadion		Dah mah meatan gaavnedin aktene orre stadijonesne Athenesne.	Deltakere møttes på et nytt stadion i Athen.	substantiv	stadione, stadionese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 49	
olijven-ålja	olivenolje	olivolja		Grekerh  laejrie-lihtieh nåhtadin juktie oliven-åljam tjaavhkodh.	Grekerne brukte leirkrukker til å oppbevare olivenolje.	sammensatt substantiv	olijven-ålja, olijven-åljese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 50	
lihtie-daajhtije	pottemaker	krukmakare	 lihtie-darjoje			sammensatt substantiv	lihtie-daajhtije, lihtie-daajhtijasse / lihtie-darjoje, lihtie-darjojasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 50	
bïenghke	sete	säte		Vuartasjæjjah bïenghki nelnie vilhtien bæjjese tjahkasjin.	Tilskuerne satt på seter oppover i skråningen.	substantiv	bïenghke, bïenghkese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
vilhtie	skråning	sluttning		Vuartasjæjjah bïenghki nelnie vilhtien bæjjese tjahkasjin.	Tilskuerne satt på seter oppover i skråningen.	substantiv	praarehke, praarehkasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
vuesiehtimmie	opptreden, forestilling, skuespill, teater	uppträdande, föreställning, skådespel, teater		Dah grekerh  vïjnejupmele Dionysosem  vuesiehtimmine earoehtin.	Grekerne æret vinguden Dionysos med skuespill.	substantiv av vuesiehtidh	vuesiehtimmie, vuesiehtæmman	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
Vïjne-jupmele	Vingud	Vingud		Dah grekerh  vïjnejupmele Dionysosem  vuesiehtimmine earoehtin.	Grekerne æret vinguden Dionysos med skuespill.	sammensatt substantiv	Vïjne-jupmele, Vïjne-jupmielasse	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
dorjehtidh	opptre i et skuespill	uppträda i ett skådespel	dorjehtalledh	Dorjetæjjah vuelielisnie dorjehtin.	Skuespillene opptrådte på plassen nedenfor.	verb av dorjehtæjja	dorjehtidh, dorjehte, dorjehti, dorjehtamme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
gïknjelidh	 tårene triller, felle tårer 	tårarna rinner		Dah teatere-boelhkh meehtin dan ov-murreds årrodh juktie gïknjelin.	Teaterstykkene kunne være så triste at tårene trillet.	verb av gïknjele	gïknjelidh, gïknjele, gïknjeli, giknjelamme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
teeatere-boelhke	teaterstykke	teaterstycke	teaatere-biehkie, teeatere-stuhtje 	Dah teatere-boelhkh meehtin dan ov-murreds årrodh juktie gïknjelin.	Teaterstykkene kunne være så triste at tårene trillet.	sammensatt substantiv av teatere + boelhke	teatere-boelhke, teatere-boelhkese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 51	
grekere	greker	grek 				substantiv	grekere, grekerasse	Elgå ref.gruppe	Godkjent	Historie 5		Hellas	s 53	
militære-faamoe	militærmakten	militärmakten		Spartan lij stoerre militære-faamoe.	Sparta hadde stor militærmakt.	sammensatt substantiv av militære + faamoe	militære-faamoe, militære-faamose	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 53	
militære-staate	militærstat	militärstat		Sparta lij militære-staate.	Sparta var en militærstat.	sammensatt substantiv av militære + staate	militære-staate, militære-staatese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 53	
sïelkedahke	havn	hamn	staarhvoe	Gaajhkh skïhph mah sïelkedahkese sielkin tjiehtin åvte-tjaalaldahkide laehpedh.	Alle skip som la til i havna måtte levere sine manuskript.	substantiv	sïelkedahke, sïelkedahkese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 55	
lohkeme-savka	lesesal	lässal		Dïhte lea veartenen stööremes lohkeme-savka.	Det er verdens største lesesal.	sammensatt substantiv	lohkeme-savka, lohkeme-savkese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 55	
åejvie-gïele	hovedspråk	huvudspråk		Åejvie-gïelh leah arabijen gïele, franske gïele jïh engelske gïele.	Hovedspråkene er arabisk, fransk og engelsk.	sammensatt substantiv	åejvie-gïele, åejvie-gïelese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 55	
tseegkedh, tseegkesovvedh	grunnlegge, bli til, etablere	grundlägga, bli skapad, etablera		Staare Alexandrija dehtie stoerre Aleksanderistie tseegkesovvi.	Byen Alexandria ble grunnlagt av Aleksander den store.	verb	tseegkedh, tseegkie, tseegki, tseegkeme	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 55	
tjaeleme-histovrije	skrifthistorie	skrifthistoria	tjaaleh-histovrije	Tjeahpoe tjaeleme-histovrijen bïjre.	Et kunstverk som hander om skrifthistorie.	sammensatt substantiv	tjaeleme-histovrije, tjaeleme-histovrijese	Elgå ref. gruppe	Godkjent	Historie 5		Hellas	s 56	
åejvie-staare	hovedstad	huvudstad		Rome lea åejvie-staare Italijesne.	Byen Roma er hovedstaden i Italia.	sammensatt substantiv	åejvie-staare, åejvie-staarese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 58	
Palatijne	Palatinen	Palatinen		Staarem tseegki beavnardahkesne man nomme Palatijne.	Han grunnla byen på en høyde med navnet Palatinen.	substantiv	Palatine, Palatinese	Elgå ref. gruppe	Godkjent					
gyrreldidh	erobre, legge under seg	lägga under sig, erövra		Dåarohkidie raaji orre laanth gyrreldidh.	Soldatene ble sent ut for å erobre nye landområder.	verb	gyrreldidh, gyrrelde, gyrreldi, gyrreldamme	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 61	
laante	landområde	landområde		Dåarohkidie raaji orre laanth gyrreldidh.	Soldatene ble sent ut for å erobre nye landområder.	substantiv	laante, laantese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 61	
dåaroe-faangke	krigsfange	krigsfånge		Dåarohkh dåaroe-faangkh vaeltiejin/veeltin.	Soldatene tok krigsfanger.	sammensatt substantiv av dåaroe + faangke	dåaroe-faangke, dåaroe-faangkese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 61	
kråave	gruve	gruva	haevtie, gruva	Slavh aaj åtnasovvin garres barkosne gruvine.	Slavene ble også brukt til hardt arbeid i gruver.	substantiv	gruva, gruvese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 61	
amfiteeatere	amfiteater	amfiteater		Colosseume akte stoerre amfiteeatere.	Colosseum er et stort amfiteater.	substantiv	amfiteatere, amfieteaterasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 62	
bïgkeme-mïestere	byggmester	byggmästare		Bïgkeme-mïesterh leah dah bööremes veartenisnie.	Byggmesterne er  de beste i verden.	sammensatt substantiv	bïgkeme-mïestere, bïgkeme-mïesterasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 62	
låamme-soelege	lommetyv	ficktjuv		Geehtedh låamme-soelegijstie!	Passe deg for lommetyver!	sammensatt substantiv	låamme-soelege, låamme-soelegasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
vætnere	seierherre	segerherre		Tekste vætnere-goengerisnie vætnerem heevehte.	Teksten på triumfbuen hyller seierherren.	substantiv av vitnedh	vætnere, vætnerasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
gaavnedimmie-sijjie	samlingsplass	samligsplats		Forum Romanume lea mijjen vïhkielommes gaavnedimmie-sijjie.	Forum Romanum er vår viktigste samlingsplass.	sammensatt substantiv av gaavnedimmie + sijjie	gaavnedimmie-sijjie, gaavnedimmie-sæjjan	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
vætnere-goengere	triumfbue	triumfbåge		Forumisnie maahtah gellie vætnere-goengerh vuejnedh.	På Forum kan du se flere triumfbuer.	sammensatt substantiv av vætnere + goengkere	vætnere-goengkere, vætnere-goengkerasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
akvedukte	akvedukt	akvedukt		Akvedukte tjaetsiem staarese foeresje.	Akvedukten fører vannet inn til byen.	substantiv	akvedukte, akveduktese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
fonteene	fontene	fontän		Tjaetsiem stuvrehtin fontænidie.	Vannet ledes till fontener.	substantiv	fontæne, fontænese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 63	
laavkome-gåetie	badehus	badhus		Laavkome-gåetieh leah mosaikigujmie feegreme.	Badehusene er pyntet med mosaikk.	sammensatt substantiv av laavkome + gåetie	laavkome-gåetie, laavkome-gåatan	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 64	
mosaihke	mosaikk	mosaik		Laavkome-gåetieh leah mosaihkigujmie feegreme.	Badehusene er pyntet med mosaikk.	substantiv	mosaike, mosaikese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 64	
raadtahtahke	utkant	utkant		Mijjieh aktene gåetesne årrobe staaren raadtatahkesne.	Vi bor i ett hus i utkanten av byen.	substantiv	raadtahtahke, raadtahtahkese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 64	
republihke	republikk	republik		Dah rovmerh aktem stuvremevoetem sjïehtesjin maam gåhtjoejin republihke.	Romerne innførte en styreform som de kalte republikk.	substantiv	republihke, republihkese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 66	
konsule	konsul	konsul		Geekte / göökte konsulh Romerrijhkem ektesne stuvrigan.	To konsuler styrte Romerriket sammen.	substantiv	konsule, konsulasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 66	
senate	senat	senat		Båeries gaarmanæjjah mah åejvemes barkoeh åtneme åadtjoejin senatesne tjahkasjidh.	Eldre menn, som hadde hatt viktige stillinger, fikk plass i senaten.	substantiv	senate, senatese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 66	
åejvemes barkoe	viktig stilling, stilling av betydning	viktig ställning, betydande ställning	vihkeles barkoe	Båeries gaarmanæjjah mah åejvemes barkoeh åtneme åadtjoejin senatesne tjahkasjidh.	Eldre menn, som hadde hatt viktige stillinger, fikk plass i senaten.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 66	
åejvemes gaskese	viktig kontakt, viktig forbindelse	viktig kontakt, viktig förbindelse	vihkeles gaskese	Vihkeles åejvemes gaskesh utnedh.	Det gjaldt å ha gode forbindelser.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 67	
monarkije	monarki	monarki		Muvhtene laantesne monarkije.	Det er monarki i noen land.	substantiv	monarkije, monarkijese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 67	
toga	toga	toga		Fæjjoeh vuertiejin fïere-guhten gulhkine maam tjiekeme togan sijse.	Fiender ventet med hver sin dolk skjult i togaen.	substantiv	toga, togese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 68	
råamome	sammensvergelse	sammansvärjning		Brutuse aaj lij meatan råamomisnie.	Brutus var også med på sammensvergelsen.	substantiv av råamodh	råamome, råamomasse	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 68	
årrome-sijjie	bebyggelse	bebyggelse		Praedtie båeries årrome-sijjieh jamhkeli.	Brannen jevnet gammel bebyggelse.	substantiv	årrome-sijjieh, årrome-sijjide	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 70	
staaten religijovne	statsreligion	statsreligion		Kristelesvoete edtji staaten religijovne årrodh.	Kristendommen skulle være statens religion.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 71	
katakombe	katakombe	katakomb		Romen kristegassjh åemehkh katakombine juvliejin.	De kristne i Roma begravde sine døde i katakomber.	substantiv	katakombe, katakombese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 71	
kåave	korridor, gang	gång, korridor		Desnie lij gïengeles kåavh jåartan nuelesne.	Der var det dype ganger under jorda.	substantiv	kåave, kåavese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 71	
latijne	latin	latin		Datne muvhth jïehtegh latijnesne lïereme. 	Du har lært å si noen setninger på latin.	substantiv	latijne, latijnese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 72	
sjædtoe-gærja	flora	flora		Sjædtoe-gærjesne blommaj latijnen nommh.	I en flora finnes latinske navn på blomster.	sammensatt substantiv	sjædtoe-gærja, sjædtoe-gærjese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 72	
dålle-vaerie	vulkan	vulkan	vulkane	Dålle-vaerie/vulkane Vesuve lij guhkiem dåadtjadalleme.	Vulkanen Vesuv hadde lenge holdt seg i ro.	sammensatt substantiv av dålle + vaerie	dålle-vaerie, dålle-vaaran	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 74	
Vesuve	Vesuv	Vesuvius		Dålle-vaerie/vulkane Vesuve lij guhkiem dåadtjadalleme.	Vulkanen Vesuv hadde lenge holdt seg i ro.	substantiv	Vesuve, Vesuvese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 74	
pinje-moere	pinjetre	pinje		Gaske-mearoen bïjre pinje-moerh.	Omkring Middelhavet finns det pinjer.	substantiv	pinje-moere, pinje-moerese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 75	
gånka-rijhke	kongedømme, kongerike	kungadöme, kungarike				sammensatt substantiv	gånka-rijhke, gånka-rijhkese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 77	
sjuevhkiehtidh	få et utbrudd	få ett utbrott		Vesuve sjuevhkiehti.	Vesuv fikk et utbrudd.	verb	sjuevhkiehtidh, sjuevhkehte, sjuevhkiehti, sjuevhkehtamme	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 78	
sjuevhkiehtimmie dålle-vaereste	vulkanutbrudd	vulkanutbrott	dålle-vaerien sjuevhkiehtimmie	Jïjnjh almetjh jaemiejin dålle-vaerien sjuevkiehtimmesne.	Mange mennesker døde i vulkanutbruddet.	frase		Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 78	
pimpe-gierkie	pimpstein	pimpsten		Desnie njïeljie meeterh pimpe-gierkeste.	Der er det fire meter med pimpstein.	sammensatt substantiv av pimpe + gierkie	pimpe-gierkie, pimpe-gearkan	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 78	
guelie-lïjme	fisklim	fisklim	guelie-hipmie	Gabrh guelie-lijmine bådtjalgovvin.	Fiskelim ble smurt på rullene.	sammensatt substantiv	guelie-lïjme, guelie-lïjmese	Elgå ref. gruppe	Godkjent	Historie 5		Romerriket	s 80	
rööjrebertije	rørlegger	rörläggare		Muvhth rööjrebertijh jallh datovre-eksperth sjïdtieh.	Noen blir rørleggere eller dataspesialister.	sammensatt substantiv av rööjre + bertije 	rööjre-bertije, rööjre-bertijasse	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
prierkie 	varsel (mek)	varning (mek)	vaarohtimmie			substantiv av prierkietidh 	prierhkie, prearhkan	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
soeve-prierkie	røykvarsel	rökvarnare	soevevaarohtimmie	Gaajhkesh dovne tjiehtieh soeve-prierkh jïh jamhkelds-dalhketjh utnedh.	Alle må ha røykvarslere og slokkingsutstyr.	sammensatt substantiv av soeve + prierkie	soeve-prierhkie, soeve-prearhkan	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
dållejemhkeldims-   dirregh flt.	slokkingsutstyr	släckningsutrustning		Gaajhkesh dovne tjiehtieh soeve-prierkh jïh jamhkelds-dalhketjh utnedh.	Alle må ha røykvarslere og slokkingsutstyr.	sammensatt substantiv av jamhkelds av jamhkelidh + dalhketjh	dållejemhkeldims-dïrrege, dållejemhkeldims-dïrregasse	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
rïpmeme-geajnoe	rømningsvei	utrymningsväg	rïpmeme-geajna	Tjeahta geekte rïpmeme-geajnoeh jïh praedtieprierkie-systemh gååvnesidh.	Det må være to rømningsveier og brannvarslingssystem.	sammensatt substantiv av rïpmeme av rïpmedh + geajnoe/geajna	rïpmeme-geajnoe, rïpmeme-geajnose	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
dåaktere-kontovre	legekontor	läkarstation	dååktere-kontovre, dåktere-kontovre, daktere-kontovre, bååhtjere-kontovre	Dåaktere-kontovrh gaajhkh laanten dajvine gååvnesieh.	I alle deler av landet er det legekontorer.	sammensatt substantiv av dåaktere + kontovre	dåaktere-kontovre, dåaktere-kontovrese	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
healsoe-vaaksjome	helsesjekk	hälsokontroll	healsoegïehtjedimmie	Gaajhkh maanah namhtah healsoe-vaaksjomem jïh vaksinasjovnem åadtjoeh.	Alle barn får gratis helsesjekk og vaksinasjon.	sammensatt substantiv av healsoe + vaaksjome	healsoe-vaaksjome, healsoe-vaaksjomasse	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
vaksijnem vedtedh	vaksinere	vaccinera	vaksineredidh			frase		Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
vaksinasjovne	vaksinasjon	vaccination		Gaajhkh maanah namhtah healsoe-vaaksjomem jïh vaksinasjovnem åadtjoeh.	Alle barn får gratis helsesjekk og vaksinasjon.	substantiv	vaksinasjovne, vaksinasjovnese	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
vaksijne 	vaksine	vaccin				substantiv	vaksijne, vaksijnese	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 86	
ååktedh	respektere, vise respekt	respektera, visa respekt	earoehdidh			verb	ååktedh, ååktie, ååkti, ååkteme	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 88	
ååktese	respekt	respekt	earoe 	mijjieh gaajhkide almetjidie  earoem  vuesiehtibie 	Vi hadde respekt for alle voksne.	substantiv	ååktese, ååktesasse	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 88	
dåajmijesvoete	folkeskikk	folkskick		buerie jis  dåajmijesvoete almetji gaskemsh.	Det ville ikke skade med mer folkeskikk.	substantiv av dåajmijes 	dåajmijesvoete, dåajmijesvoetese	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 88	
buertie-skihke	bordskikk	bordskick		Buertie-skihke lea vuekie juktie byøpmedidh.	Bordskikk er regler når vi spiser.	sammensatt substantiv av buertie + skihke	buertie-skihke, buertie.-skihkese	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 90	
byöpmedims-dïrregh	bestikk	bestick		Ij byöpmedims-dïrregigujmie stååkedh.	Lek ikke med spiseredskapene.	sammensatt substantiv av byöpmedims av byöpmedh + dïrregh	byöpmedims-dirregh, byöpmedimsdïrregidie	Elgå ref. gruppe	Godkjent	Samf 5		I samfunnet	side 90	
